SMILE	ID	Function
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1	NCGC00258955-01	1
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1	NCGC00259338-01	1
CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1	NCGC00257038-01	1
OC1=CC(=CC(O)=C1O)C(=O)OC2=CC(=CC(O)=C2O)C(=O)OC[C@H]3O[C@@H](OC(=O)C4=CC(O)=C(O)C(OC(=O)C5=CC(O)=C(O)C(O)=C5)=C4)[C@H](OC(=O)C6=CC(O)=C(O)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)=C6)[C@@H](OC(=O)C8=CC(O)=C(O)C(OC(=O)C9=CC(O)=C(O)C(O)=C9)=C8)[C@@H]3OC(=O)C%10=CC(O)=C(O)C(OC(=O)C%11=CC(O)=C(O)C(O)=C%11)=C%10	NCGC00095101-01	1
[H][C@@]12OC\C3=C/C=C/[C@H](C)C\C(C)=C\C[C@]4([H])C[C@@H](C[C@]5(C\C(=N\OC)[C@H](C)[C@H](O5)C(\C)=C\C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O	NCGC00183118-01	1
COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(N=C1C(C)C)C(C)C	NCGC00164625-02	1
[H][C@@]12CC[C@H](OC(=O)CC)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00255481-01	1
[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC5=NON=C5C[C@]34C	NCGC00181290-01	1
COC1=CC=C(CN2CCN(CC2)C(C3=CC=C(F)C=C3)C4=CC=C(F)C=C4)C(OC)=C1OC	NCGC00164543-01	1
CC(C)=CCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3	NCGC00164582-01	1
[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CC\C(C=C4CC[C@@]23[H])=N/O	NCGC00181353-01	1
[H][C@@]12C[C@H]3OC(C)=N[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]4([H])[C@@]2([H])CCC5=CC(=O)C=C[C@]45C	NCGC00167508-01	1
[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)COC(C)=O	NCGC00016436-01	1
CC(C)C1=CC=C2OC3=C(C=C(C(O)=O)C(N)=N3)C(=O)C2=C1	NCGC00167472-01	1
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CC\C(C=C4CC[C@@]23[H])=N/O	NCGC00168787-01	1
[H][C@@]12C[C@@H](C)[C@](C)(C(=O)OC)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00016856-01	1
[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]5(F)[C@@]2([H])CCC6=CC(=O)C=C[C@]56C	NCGC00095071-01	1
CCC1=NC(N)=NC(N)=C1C2=CC=C(Cl)C=C2	NCGC00016256-08	1
[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]4([H])[C@@]2([H])[C@@H](CC5=CC(=O)CC[C@]45C)SC(C)=O	NCGC00015948-02	1
[H][C@@]12[C@@H]3C[C@@H]3[C@@]4(CCC(=O)O4)[C@@]1(C)CC[C@@]5([H])[C@@]2([H])[C@H]6C[C@H]6C7=CC(=O)CC[C@]57C	NCGC00164590-01	1
[H][C@@]12CC[C@](O)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCCC=C4CC[C@@]23[H]	NCGC00255262-01	1
CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](CN1C2=NC(=O)NC(=O)C2=NC3=C1C=C(C)C(C)=C3)OC(=O)CCC	NCGC00181300-01	1
OC1=C(Br)C=C(C=C1Br)C#N	NCGC00258972-01	1
CN1C2=CC=C(C=C2C(=NCC1=O)C3=CC=CC=C3)[N+]([O-])=O	NCGC00164577-01	1
COCCCOC1=CC=NC(CS(=O)C2=NC3=C([N-]2)C=CC=C3)=C1C	NCGC00159518-02	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)CC[C@]34C	NCGC00022680-04	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00160534-01	1
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00016566-01	1
[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]3(Cl)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00094596-03	1
[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]4(F)[C@@]2([H])CCC5=CC(=O)CC[C@]45C	NCGC00016621-01	1
[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00183124-01	1
O1[As]2O[As]3O[As]1O[As](O2)O3	NCGC00164639-01	1
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00094764-01	1
[H][C@@]1(CCC)O[C@@H]2C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	NCGC00016862-01	1
[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]4([H])[C@@]2([H])C[C@H](F)C5=CC(=O)C=C[C@]45C	NCGC00016983-01	1
[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]4([H])[C@@]2([H])C[C@H](F)C5=CC(=O)CC[C@]45C	NCGC00016586-01	1
[O-]C(=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1C2=C3C=C(I)C(=O)C(I)=C3OC4=C(I)C([O-])=C(I)C=C24	NCGC00159508-02	1
[H][C@@]12CC(=C)[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(C)C4=CC(=O)CC[C@]34C	NCGC00160544-01	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(C)C4=CC(=O)CC[C@]34C	NCGC00016516-01	1
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00259341-01	1
[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]	NCGC00183366-01	1
CC(C)COC1=CC=C(C=C1C#N)C2=NC(C)=C(S2)C(O)=O	NCGC00182059-02	1
[H][C@@]12CC[C@](OC(=O)OCC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00016926-01	1
[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C	NCGC00167451-01	1
[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@]([H])(C3=CC=C(C=C3)N(C)C)C4=C5CCC(=O)C=C5CC[C@@]24[H]	NCGC00025179-05	1
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC5=C(C[C@]34C)C=NO5	NCGC00255335-01	1
CC1=CC(=O)OC2=C1C=CC(O)=C2	NCGC00257522-01	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C	NCGC00259235-01	1
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00015785-04	1
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])C2=CCC4=C3C=CC(O)=C4	NCGC00256728-01	1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N	NCGC00167450-01	1
[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@]([H])(C3=CC=C(C=C3)N(C)C)C4=C5CCC(=O)C=C5CC[C@@]24[H]	NCGC00255152-01	1
[H][C@@]1(CCC)O[C@@H]2C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	NCGC00259376-01	1
[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]4([H])[C@@]2([H])[C@@H](CC5=CC(=O)CC[C@]45C)SC(C)=O	NCGC00255229-01	1
[H][C@@]1(O[C@@](CC)(C[C@@H]1C)[C@@]2([H])CC[C@](O)(CC)[C@H](C)O2)[C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCC3=C(C([O-])=O)C(O)=C(C)C=C3	NCGC00095029-01	1
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COP([O-])([O-])=O)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00094644-01	1
[H][C@@]12C[C@H](C)[C@](OC(C)=O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C	NCGC00022003-03	1
[H][C@@]12CC[C@@](OC(=O)CCCCCC)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]	NCGC00182712-01	1
CCCCC1=CC2=C(NC(NC(=O)OC)=N2)C=C1	NCGC00016706-01	1
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(=O)C3=CC=CC(=C3)S([O-])(=O)=O)[C@@]1(C)C[C@H](O)[C@@]4(F)[C@@]2([H])CCC5=CC(=O)C=C[C@]45C	NCGC00167571-01	1
COC3=CC=C(CC4C5=CC(OC)=C(OC)C=C5CC[N+]4(C)CCC(=O)OCCCCCOC(=O)CC[N+]6(C)CCC7=CC(OC)=C(OC)C=C7C6CC8=CC=C(OC)C(OC)=C8)C=C3OC	NCGC00017127-01	1
[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C6CCCCC6)C(=O)COC(=O)C(C)C	NCGC00167484-01	1
[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])[C@H](Cl)CC4=CC(=O)C=C[C@]34C	NCGC00016984-01	1
[H][C@@]12C[C@H](C)[C@](OC(=O)CCC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00183597-01	1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=C(Cl)C(=O)CC[C@]34C	NCGC00160498-01	1
COC1=CC=CC(=N1)N(C)C(=S)OC2=CC3=C(CCCC3)C=C2	NCGC00164601-01	1
[H][C@@]12CC[C@H](C(=O)NC3=CC(=CC=C3C(F)(F)F)C(F)(F)F)[C@@]1(C)CC[C@@]4([H])[C@@]2([H])CC[C@@]5([H])NC(=O)C=C[C@]45C	NCGC00164571-01	1
[H][C@](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@@]3([H])O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]3O)C4=CN=CN4)([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCCNC(N)=N	NCGC00096040-01	1
CCCCCCCCCCCCCCCCCCOCC(O)CO	NCGC00095748-01	1
[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00094799-01	1
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C	NCGC00159474-02	1
COCCOC1=CC2=NC=NC(NC3=CC=CC(=C3)C#C)=C2C=C1OCCOC	NCGC00164574-01	1
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)CC[C@]34C	NCGC00181768-01	1
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@H](C)C4=CC(=O)CC[C@]34C	NCGC00016616-01	1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])C4=CC=C(OC(C)=O)C=C4CC[C@@]23[H]	NCGC00094925-01	1
[H][C@@]12CC[C@H](OC(=O)CCCCCC)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC(=O)C=C(C)[C@]34C	NCGC00167979-01	1
[H][C@@]12CC[C@H](OC(=O)CCCCCC)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]	NCGC00188442-01	1
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]3([H])[C@@]4([H])CCCC=C4CC[C@@]23[H]	NCGC00167449-01	1
[H][C@@]12CC[C@H](OC(=O)CC)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]	NCGC00183033-01	1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC(=O)CC[C@]34C	NCGC00091013-01	1
[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC(=O)CC[C@]34C	NCGC00183127-01	1
CC1=CC=CC(C)=C1NC(=O)CC23CCCN2CCC3	NCGC00167454-01	1
NC(=O)NS(=O)(=O)C1=CC=C(N)C=C1	NCGC00164541-01	1
[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00091009-03	1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])C4=CC=C(O)C=C4CC[C@@]23[H]	NCGC00091544-04	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C	NCGC00091032-03	1
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00254120-01	1
CCOC(=O)NC1=CC2=C(SC3=C(C=CC=C3)N2C(=O)CCN4CCOCC4)C=C1	NCGC00016809-01	1
[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=C(C=C(OC)C(OC)=C7)[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H]	NCGC00094861-01	1
OC1=CC=C(C=C1)C(=O)C2=CC=C(O)C=C2O	NCGC00259859-01	1
CN1C(CC([O-])=O)=CC(C)=C1C(=O)C2=CC=C(Cl)C=C2	NCGC00094811-01	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(C)C4=CC(=O)CC[C@]34C	NCGC00255456-01	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)CC[C@]34C	NCGC00258219-01	1
NC1=CC=C(C=C1Cl)C2=CC(Cl)=C(N)C=C2	NCGC00259455-01	1
[H][C@]1(O)CN(C(C)=O)[C@@]([H])(C1)C(O)=O	NCGC00164517-01	1
[H][C@@]12C[C@H](C)[C@](OC(=O)CCCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	NCGC00255185-01	1
NC1=CC=C2C(CC3=CC=CC=C23)=C1	NCGC00260517-01	1
OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1	NCGC00258925-01	1
[H][C@@]12CC[C@H](OC(=O)CCC3CCCC3)[C@@]1(C)CC[C@]4([H])C5=CC=C(O)C=C5CC[C@@]24[H]	NCGC00255333-01	1
[H][C@@]12C[C@H]3OC(C)=N[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]4([H])[C@@]2([H])CCC5=CC(=O)C=C[C@]45C	NCGC00255189-01	1
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N	NCGC00259230-01	1
OC1=CC2=C(C=C1)C3=C(C2)C=CC=C3	NCGC00256670-01	1
CCCOCC(C)O	NCGC00258943-01	1
[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F	NCGC00258519-01	1
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C	NCGC00256442-01	1
NCCNCCN	NCGC00259004-01	1
COCC(C)OC(C)=O	NCGC00258987-01	1
[H][C@@]12C[C@@H](C)[C@H](C(=O)COC(=O)CCCC)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C	NCGC00183100-01	1
[H][C@@]12CC[C@@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00091018-01	1
[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@H](C)C4=CC(=O)C=C[C@]34C	NCGC00185763-01	1
C(CC1=CC=CC=C1)NC2=NC(=CS2)C3=CC=CC=C3	NCGC00160438-01	1
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C	NCGC00185748-01	1
CC(=O)OCC(=O)[C@@]1(O)C(=C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C	NCGC00182066-02	1
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(=O)C(C)(C)C)C1(C)C[C@H](O)[C@@]3(F)C2([H])C[C@H](F)C4=CC(=O)C=CC34C	NCGC00022408-03	1
[H][C@@]12CC[C@H](OC(=O)CCC(C)C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00181019-01	1
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=CC=C3	NCGC00015829-02	1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])C[C@@H]5S[C@@H]5C[C@]34C	NCGC00016609-01	1
NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N	NCGC00160373-01	1
CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C	NCGC00182556-02	1
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3([H])[C@@]2([H])C[C@H](F)C4=CC(=O)C=C[C@]34C	NCGC00182067-02	1
