SMILE	ID	Function
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+]([O-])=O	NCGC00163843-03	0
COC(=O)C(C)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1	NCGC00254683-01	0
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1	NCGC00015159-06	0
[H][C@]12C[C@](O)(CO)[C@](C)(O1)N3C4=C(C=CC=C4)C5=C3C6=C(C7=C(C=CC=C7)N26)C8=C5CNC8=O	NCGC00168772-01	0
O=C1OCCO1	NCGC00258628-01	0
CC1=CC(NC(=O)C(O)=O)=CC(C)=C1OC2=CC=C(O)C3=C2CCC3	NCGC00254499-01	0
CSC1=NN=C(C(=O)N1N)C(C)(C)C	NCGC00259555-01	0
CCOC1=CC=C2NC(C)(C)CC(C)C2=C1	NCGC00255801-01	0
[O-][N+](=O)C1=CC2=C(C=C1)C3=C(C2)C=CC=C3	NCGC00259314-01	0
CC(C)=CCC1=C(O)C(=O)C2=C(C=CC=C2)C1=O	NCGC00260494-01	0
FC(F)(F)OC1=CC=C(NC(=O)NC(=O)C2=CC=CC=C2Cl)C=C1	NCGC00255190-01	0
FC(F)(F)C1=CC=C(Cl)C(Cl)=C1	NCGC00257218-01	0
[H][C@@]12C[C@H](CC)[C@H](O)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]	NCGC00183854-01	1
OS(=O)(=O)C1=CC2=C(N\C(C2=O)=C3\NC4=C(C=C(C=C4)S(O)(=O)=O)C3=O)C=C1	NCGC00159432-03	0
CCOC1=CC=CC(N)=C1	NCGC00258550-01	0
OCCSSCCO	NCGC00255960-01	0
NC1=NC2=C(N(CC=C)C(=O)N2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C(=O)N1	NCGC00167840-01	0
[O-][N+](=O)C1=CC(=CC=C1)S(=O)(=O)NCCNS(=O)(=O)C2=CC=CC(=C2)[N+]([O-])=O	NCGC00160679-01	0
CO\N=C(\C(=O)OC)C1=C(COC2=C(C)C=CC=C2)C=CC=C1	NCGC00255374-01	0
CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](CN1C2=NC(=O)NC(=O)C2=NC3=C1C=C(C)C(C)=C3)OC(=O)CCC	NCGC00181300-01	1
COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O	NCGC00159404-02	1
CO[Si](CCCNCCN)(OC)OC	NCGC00259198-01	0
[H][C@@]12CC[C@H](C(=O)COC(=O)C(C)(C)C)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C	NCGC00159355-02	1
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	NCGC00015611-10	0
CCC(=O)CC	NCGC00258231-01	0
CCCOC(OCCC)OCCC	NCGC00255921-01	0
F[C@@H](CO[C@H]1CC[C@@H](CC1)NC2=C3C=NN=C3N=CN2)C4=CC=CC=C4F	NCGC00254090-01	0
C1COCO1	NCGC00254601-01	0
CCCCC(CC)COCCO	NCGC00255798-01	0
OC(=O)C1=CC(Cl)=CC=C1Cl	NCGC00257875-01	0
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O	NCGC00016814-01	0
CCCOC(=O)CC1=CC(OC)=C(OCC(=O)N(CC)CC)C=C1	NCGC00183027-01	0
CSC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	NCGC00254713-01	0
COC1=CC2=C(N=CN=C2C=C1OCCCN3CCCCC3)N4CCN(CC4)C(=O)NC5=CC=C(OC(C)C)C=C5	NCGC00241097-01	0
OCC(Cl)CCl	NCGC00257896-01	0
CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O	NCGC00163424-01	0
CCC(=O)NC1=CC(N)=CC=C1	NCGC00256147-01	0
NC1=NC(Cl)=NC2=C1N=CN2[C@H]3C[C@H](O)[C@@H](CO)O3	NCGC00018167-03	0
CCC(C)SSC(C)CC	NCGC00256215-01	0
OC1=CC2=C(SC(=O)O2)C=C1	NCGC00095003-01	0
CC(C)(C)C1=CC=C(N)C=C1	NCGC00257236-01	0
CCCCOC1=CC=C(CC(=O)NO)C=C1	NCGC00016611-01	0
COC(=O)C1=CC=CC=C1	NCGC00256939-01	0
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC	NCGC00257221-01	0
CC(=O)OC1=CC=C(C)C=C1	NCGC00255676-01	0
COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N(C)C	NCGC00255779-01	0
OC1=CC=C(C=C1)S(O)(=O)=O	NCGC00164534-01	0
CCOC(=O)CC1=CC=CC2=C1C=CC=C2	NCGC00255330-01	0
CC1=C(N)C=CC=C1	NCGC00253986-01	0
CC[N+]([O-])=O	NCGC00256603-01	0
COC(=O)NN	NCGC00258433-01	0
CC1=CC2=C(N=C1)C(C(O)=O)=C(Cl)C=C2	NCGC00255867-01	0
C[Hg]Cl	NCGC00260073-01	0
CN1C(=N)NC2=C(N=CN2)C1=O	NCGC00260498-01	0
CCC(=O)C1CC(CC=C1C)C(C)C	NCGC00256887-01	0
ClC1=CC=CC=C1C2=NN=C(N=N2)C3=C(Cl)C=CC=C3	NCGC00259237-01	0
O=C1CCCCCCCCCCCCCC1	NCGC00256661-01	0
CCOP(=O)(CC)OC1=CC=C(C=C1)[N+]([O-])=O	NCGC00183017-01	0
CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl	NCGC00254619-01	0
CCCC(C)(COC(N)=O)COC(=O)NC(C)C	NCGC00015278-09	0
CC1=CN=C(C)C(C)=N1	NCGC00256135-01	0
CCN(CC)C1=CC=C(N)C=C1	NCGC00258442-01	0
CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=CC=C3	NCGC00182622-01	0
OCC1=CC=C(O1)C=O	NCGC00257266-01	0
FC1=C(Br)C=C(C=O)C=C1	NCGC00256205-01	0
COC(=O)NC1=NC2=CC=CC=C2N1	NCGC00254328-01	0
[O-][N+](=O)C1=CC=CC(C=O)=C1	NCGC00260501-01	0
OC1=CC=C([Hg]Cl)C=C1	NCGC00181142-02	0
C1=CC=NC=C1	NCGC00258513-01	0
CN(C)CCCSC1=CC=CC=C1NC(=O)\C=C\C2=CC=CC=C2	NCGC00024599-02	0
CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O	NCGC00091205-03	0
CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)CC4=CC=C(Cl)C(Cl)=C4	NCGC00162369-02	0
ONC(=O)C1(CCOCC1)NS(=O)(=O)C2=CC=C(OC3=CC=C(F)C=C3)C=C2	NCGC00254291-01	0
CC(C)=CCCC(C)(O)C=C	NCGC00259207-01	0
COC1=C(C=CC(=C1)C2=CC(OC)=C(C=C2)N=C=O)N=C=O	NCGC00260026-01	0
[H][C@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)NC(=O)N(CC)CC	NCGC00163158-01	0
CCCCCC(O)\C=C\C=O	NCGC00161254-02	0
CC(Cl)CCl	NCGC00257916-01	0
CC#CCC(C)[C@H](O)\C=C\C1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	NCGC00181784-01	0
CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F	NCGC00257382-01	1
CN(C)C(=O)C(Cl)C(C)=O	NCGC00255804-01	0
CC(C(O)=O)C1=CC(=CC=C1)C(=O)C2=CC=CC=C2	NCGC00016757-01	0
COC1=CC(N)=C(OC)C=C1Cl	NCGC00255528-01	0
CCCCCCCCOC(=O)C1=CC=C(O)C=C1	NCGC00257503-01	0
CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)S(=O)(=O)N(C)C)N(C)C	NCGC00249414-01	0
CCCCCCCCCCCCOC(C)=O	NCGC00257295-01	0
CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1	NCGC00256337-01	0
CC1=NN(CO)C(C)=C1	NCGC00255090-01	0
COP(=O)(OC)OC(=CCl)C1=C(Cl)C=C(Cl)C(Cl)=C1	NCGC00257646-01	0
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])CC(=O)CC[C@]34C	NCGC00091013-01	1
FC(F)(F)C1=CC(NC2=C(C=CC=N2)C(=O)OC3OC(=O)C4=C3C=CC=C4)=CC=C1	NCGC00167754-01	0
CCOC1=CC=C(NC(=O)OC(C)C)C=C1OCC	NCGC00255515-01	0
CC(=C)C(=O)OCCOP(O)(O)=O	NCGC00256268-01	0
OC1=CC=C(C=C1)C2CNCCC3=C2C=C(O)C(O)=C3Cl	NCGC00015444-04	0
CC(=O)O[Al](O)OC(C)=O	NCGC00166059-01	0
OCC1=C2C=CC=CC2=CC3=CC=CC=C13	NCGC00260511-01	0
NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1	NCGC00258538-01	0
CCCCCCCC\C=C/CCCCCCCCOCCO	NCGC00257682-01	0
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2	NCGC00015834-11	0
OC[C@H]1O[C@H](O[C@@]2(CO)O[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	NCGC00160552-01	0
CCCCCCCC(=O)OCCCCCC	NCGC00256630-01	0
C(\C=C\C1=CC=CC=C1)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4	NCGC00015246-02	0
C[N+]([O-])=O	NCGC00258376-01	0
CCCCCCCCCC(O)=O	NCGC00259758-01	0
CN(C)CCCNCCCN	NCGC00258728-01	0
CCCC[Sn](CCCC)(CCCC)OC(=O)C(C)=C	NCGC00254380-01	0
CC1=CCC(CC1)C(C)(C)O	NCGC00257666-01	0
CCCCOC(=O)CCCCCCCC(=O)OCCCC	NCGC00256129-01	0
ClC1=CC=C(C=C1)C(C2=CC=CC=C2Cl)C(Cl)(Cl)Cl	NCGC00259788-01	0
OCC1CCC(CO)CC1	NCGC00257987-01	0
C1=CC=C(C=C1)N=NC2=CC=CC=C2	NCGC00254531-01	0
CCCCC(CC)COCC1CO1	NCGC00259532-01	0
COCCOCCOCCOCCO	NCGC00258302-01	0
OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1	NCGC00255467-01	0
NC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C(Br)C=C1Br	NCGC00260131-01	0
CCO[C@H](CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C(O)=O	NCGC00182082-02	0
COC(=O)CCCCC(O)=O	NCGC00255865-01	0
CC1=C2N3C=NN=C3SC2=CC=C1	NCGC00255465-01	0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O	NCGC00016942-01	0
CCOC(=O)CC(=O)C1=CC(F)=C(Cl)N=C1Cl	NCGC00260451-01	0
CC(C)=CCC\C(C)=C\CC\C(C)=C\CO	NCGC00255293-01	0
ClC1CC2C(C1Cl)C3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl	NCGC00257844-01	0
CC(CO)C1=CC=CC=C1	NCGC00255620-01	0
OCCN(CCO)C=O	NCGC00256805-01	0
CCN(CC)N=O	NCGC00254309-01	0
OC(CCl)CCl	NCGC00259439-01	0
CC1=C(O)C(=O)C=CO1	NCGC00259764-01	0
CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O	NCGC00016455-01	0
O=C(CN1CCN(CC2=CC=C3OCOC3=C2)CC1)N4C5=CC=CC=C5SC6=CC=CC=C46	NCGC00160678-01	0
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]3C[C@@H](O)CC(=O)O3)OC(=O)[C@@H](C)CC	NCGC00259026-01	0
COC1=CC=C(NC(=O)CC(C)=O)C=C1	NCGC00256049-01	0
CCC1=CC=C(C=C1)C(C(Cl)Cl)C2=CC=C(CC)C=C2	NCGC00259184-01	0
CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	NCGC00166125-01	0
CC1=CC=CC2=C1N=C(N)S2	NCGC00257787-01	0
OCCN1CCN(CC\C=C2\C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1	NCGC00162179-02	0
CCCCCCC1CCOC1=O	NCGC00255038-01	0
[H][C@@]12C=C[C@H](O)[C@@H]3OC4=C(OC)C=CC5=C4[C@]13CCN[C@@H]2C5	NCGC00163182-01	0
